ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"188.165.254.122","elite","AS16276","FR","OVH SAS","4","OVH ISP","12328","socks4","N/A","2228","2022-05-31T01:20:52.382Z"
"190.228.134.14","elite","AS7303","AR","Telecom Argentina S.A.","243","NE. SAR. SRL","4153","socks4","N/A","5002","2022-05-31T01:20:45.049Z"
"103.38.80.140","anonymous","AS40065","HK","Clouddata Networks Inc.","N/A","HK JIUJIUIDC TECHNOLOGY LIMITED","3128","http","N/A","5001","2022-05-31T01:20:38.408Z"
"186.87.179.54","elite","AS10620","CO","Telmex Colombia S.A.","N/A","Telmex Colombia S.A.","5678","socks4","N/A","5001","2022-05-31T01:20:24.952Z"
"218.244.147.59","anonymous","AS37963","CN","CNC Group CNCNET Beijing IDC","348","N/A","3128","http","N/A","5001","2022-05-31T01:20:18.557Z"
"187.177.30.154","elite","AS6503","MX","Axtel, S.A.B. de C.V.","143","Axtel - Recursos WiMAX","4145","socks4","N/A","5001","2022-05-31T01:20:07.598Z"
"103.4.167.197","anonymous","AS58369","ID","FIBERNET","165","N/A","80","http","N/A","5002","2022-05-31T01:19:58.576Z"
"187.157.30.202","elite","AS8151","MX","Uninet S.A. de C.V.","162","Uninet S.A. de C.V.","4153","socks4","N/A","1001","2022-05-31T01:19:57.672Z"
"103.213.116.10","anonymous","AS38750","ID","Telemedia Dinamika Sarana","245","TDS Infra Jambi","8080","http","N/A","3281","2022-05-31T01:19:51.062Z"
"178.151.205.154","elite","AS13188","UA","Triolan","52","N/A","38421","socks4","N/A","381","2022-05-31T01:19:51.396Z"
"91.227.183.110","anonymous","AS56835","UA","SPD Polyudov Aleksandr Igorevich","41","UTELS","8080","http","N/A","5002","2022-05-31T01:19:45.074Z"
"178.189.11.134","elite","AS8447","AT","A1 Telekom Austria AG","76","Lentiahauswa HWY","61039","socks4","N/A","4077","2022-05-31T01:19:42.192Z"
"190.24.113.138","anonymous","AS19429","CO","ETB - Colombia","N/A","ETB - Colombia","999","http","N/A","5002","2022-05-31T01:19:34.882Z"
"154.73.85.37","elite","AS327776","BW","STATURE (PTY) LTD","188","Ncbw","57932","socks4","N/A","5001","2022-05-31T01:19:30.493Z"
"170.210.4.222","elite","AS4270","AR","Red de Interconexion Universitaria","213","Red de Interconexion Universitaria","38432","socks4","N/A","926","2022-05-31T01:19:22.935Z"
"98.178.72.21","elite","AS22773","US","Cox Communications Inc.","N/A","Cox Communications","10919","socks5","N/A","5001","2022-05-31T01:19:21.185Z"
"163.53.204.182","elite","AS58898","IN","Rainbow communications India Pvt Ltd","172","Rainbow communications India Pvt Ltd","56447","socks4","N/A","715","2022-05-31T01:19:19.422Z"
"113.69.136.232","elite","AS4134","CN","Chinanet","359","Chinanet GD","1080","socks4","N/A","5001","2022-05-31T01:19:16.184Z"
"12.31.246.5","anonymous","AS7018","US","AT&T Services, Inc.","146","Servin - Lopez Vineyard Mgmt I","8080","http","N/A","646","2022-05-31T01:19:04.085Z"
"98.162.96.41","elite","AS22773","US","Cox Communications Inc.","N/A","Cox Communications","4145","socks5","N/A","5001","2022-05-31T01:19:04.464Z"
"116.237.130.82","elite","AS4812","CN","China Telecom (Group)","N/A","Chinanet SH","4145","socks4","N/A","5001","2022-05-31T01:19:03.253Z"
"103.29.185.189","anonymous","AS56260","ID","PT. Pascal Indonesia","160","N/A","8080","http","N/A","3229","2022-05-31T01:18:58.193Z"
"98.162.96.52","elite","AS22773","US","Cox Communications Inc.","N/A","Cox Communications","4145","socks5","N/A","5002","2022-05-31T01:18:48.639Z"
"161.22.33.181","anonymous","AS269832","VE","MDS TELECOM C.A","N/A","TOP COMUNICATIONS ESTEGIA C.A","999","http","N/A","5000","2022-05-31T01:18:44.505Z"
"98.162.25.29","elite","AS22773","US","Cox Communications Inc.","N/A","Cox Communications","31679","socks5","N/A","5001","2022-05-31T01:18:31.915Z"
"117.54.114.96","anonymous","AS9340","ID","PT IndoInternet","N/A","N/A","80","http","N/A","5001","2022-05-31T01:18:21.686Z"
"98.162.25.23","elite","AS22773","US","Cox Communications Inc.","N/A","Cox Communications","4145","socks5","N/A","5002","2022-05-31T01:18:15.164Z"
"46.36.70.40","elite","AS43627","LT","KLI","39","N/A","1080","socks4","N/A","178","2022-05-31T01:18:11.755Z"
"72.195.34.60","elite","AS22773","US","Cox Communications Inc.","165","Cox Communications","27391","socks4","N/A","5001","2022-05-31T01:18:08.476Z"
"217.21.214.139","anonymous","AS28775","RU","OOO TRANSTELECOM","50","Ttc Molchanovka","8080","http","N/A","437","2022-05-31T01:18:04.316Z"
"212.92.204.54","anonymous","AS35549","HR","A1 Hrvatska d.o.o","37","METRONET","8080","http","N/A","5000","2022-05-31T01:18:01.469Z"
"49.0.2.243","elite","AS55701","ID","PT Usaha Adi Sanggoro","162","N/A","5430","socks4","N/A","656","2022-05-31T01:17:59.097Z"
"82.165.109.7","elite","AS8560","DE","IONOS","N/A","N/A","10003","socks5","N/A","5001","2022-05-31T01:17:55.615Z"
"72.195.34.58","elite","AS22773","US","Cox Communications Inc.","162","Cox Communications","4145","socks4","N/A","5002","2022-05-31T01:17:55.930Z"
"103.29.185.54","anonymous","AS56260","ID","PT. Pascal Indonesia","211","N/A","8181","http","N/A","796","2022-05-31T01:17:54.068Z"
"49.156.152.28","elite","AS17483","IN","City Online","224","N/A","5678","socks4","N/A","403","2022-05-31T01:17:49.033Z"
"72.49.49.11","elite","AS6181","US","Fuse Internet Access","772","Fuse Internet Access - BRAS Norwood Region","31034","socks4","N/A","5002","2022-05-31T01:17:46.054Z"
"89.179.244.233","anonymous","AS8402","RU","CORBINA-BROADBAND","57","N/A","20000","http","N/A","250","2022-05-31T01:17:45.263Z"
"192.99.160.45","anonymous","AS16276","CA","OVH SAS","83","OVH Hosting, Inc.","8080","http","N/A","5002","2022-05-31T01:17:42.608Z"
"62.171.166.158","elite","AS51167","DE","Contabo GmbH","53","Contabo GmbH","33220","socks5","N/A","329","2022-05-31T01:17:37.546Z"
"45.10.71.70","elite","AS21859","US","Zenlayer Inc","N/A","Zenlayer Inc","8888","socks4","N/A","5001","2022-05-31T01:17:35.221Z"
"192.252.214.20","elite","AS46562","US","Performive LLC","N/A","Performive LLC","15864","socks5","N/A","5014","2022-05-31T01:17:34.808Z"
"94.181.48.110","anonymous","AS21353","RU","Enforta-MSK","91","N/A","1256","http","N/A","152","2022-05-31T01:17:32.604Z"
"181.224.50.137","anonymous","AS271496","BR","Bnet RIO Provedor De Acesso A Internet Eireli","N/A","Bnet RIO Provedor De Acesso A Internet Eireli","8080","http","N/A","5002","2022-05-31T01:17:30.007Z"
"192.252.208.67","elite","AS46562","US","Performive LLC","N/A","Performive LLC","14287","socks5","N/A","5001","2022-05-31T01:17:17.451Z"
"36.71.150.135","elite","AS7713","ID","PT. Telekomunikasi Indonesia","183","N/A","5678","socks4","N/A","5003","2022-05-31T01:17:16.328Z"
